	asker	answer
253	4490	121309
254	4490	6898634
255	4490	944592
256	4490	18529
257	4490	2707705
258	4490	1659
259	4490	197591
260	4490	12707
261	4490	16254
262	76337	1336654
263	76337	903124
264	76337	2864740
265	76337	119527
266	76337	141022
267	76337	1070452
268	76337	403671
269	76337	3142139
270	76337	6519679
271	76337	984780
272	76337	2899889
273	76337	7161984
274	76337	1461781
275	76337	8080643
276	76337	8051044
277	76337	714733
278	76337	499027
279	76337	3873536
280	76337	2672913
281	76337	1497565
282	76337	1815752
283	76337	1152809
284	76337	2693434
285	76337	395198
286	76337	11027
287	76337	1560518
288	76337	522663
289	76337	1835884
290	19242	5486
291	19242	1490
292	19242	859275
293	19242	304193
294	19242	114029
295	19242	273723
296	19242	8743724
297	19242	3433702
298	19242	733760
299	19242	12268
300	19242	2082715
301	19242	20336
302	19242	30698
303	19242	18148
304	19242	1628533
305	19242	3873
306	19242	335911
307	19242	5640
308	19242	98180
309	19242	56710
310	19242	8049
311	19242	4216714
312	19242	819019
313	19242	6863414
314	19242	391605
315	19242	1884669
316	19242	3847777
317	19242	52039
318	19242	847001
319	19242	729122
320	19242	703481
321	19242	619275
322	19242	379972
323	19242	280201
324	19242	11388
325	19242	25233
326	19242	1960
327	19242	8505
328	1	91
329	1	9106094
330	1	106159
331	1	193184
332	1	212
333	1	6629154
334	1	634824
335	1	467473
336	1	1190
337	1	1056259
338	1	184528
339	1	763112
340	1	3797
341	1	21995
342	1	1147352
343	1	4155324
344	1	691294
345	1	6803066
346	1	4707576
347	1	2608
348	1	1310
349	1	1591350
350	1	3177959
351	1	836565
352	1	3634867
353	1	1680271
354	1	1254006
355	1	649407
356	1	440670
357	1	520848
358	1	2601
359	1	702199
360	1	624612
361	1	581783
362	1	4090831
363	1	593388
364	1	1210708
365	1	173109
366	1	3889784
367	1	1185053
368	1	2772550
369	1	254790
370	1	2368967
371	1	2778315
372	1	1226335
373	1	2435287
374	1	863980
375	1	12725
376	1	1462452
377	1	892460
378	1	838807
379	1	55774
380	1	489
381	1	234611
382	1	88600
383	1	17
384	4828	12597
385	4828	24874
386	4828	1559
387	4828	363751
388	4828	1413174
389	4828	591656
390	4828	6002505
391	4828	677824
392	4828	59021
393	4828	145757
394	4828	1368184
395	4828	597539
396	4828	27423
397	4828	55943
398	4828	28552
399	4828	14033
400	4828	19594
401	4828	12711
402	4828	12349
403	201088	22656
404	201088	17034
405	201088	88656
406	201088	1021535
407	201088	923873
408	65393	4298321
409	65393	17034
410	65393	197591
411	65393	9194245
412	65393	1267461
413	65393	1699543
414	65393	1903674
415	65393	304319
416	65393	10345968
417	65393	187650
418	65393	1415594
419	65393	1734843
420	65393	5118642
421	65393	4678871
422	65393	8252369
423	65393	5074973
424	65393	781700
425	65393	3395023
426	65393	3195477
427	65393	2098903
428	65393	1934673
429	65393	1217792
430	65393	5875316
431	65393	6057426
432	65393	3229075
433	65393	5491984
434	65393	1392711
435	65393	153923
436	65393	224923
437	65393	890890
438	65393	4795761
439	65393	1350598
440	65393	550975
441	65393	695134
442	65393	3062923
443	65393	1424064
444	65393	2838827
445	65393	1355856
446	65393	5173268
